Made terminalCost a macro-function, got rid of allocate/deallocate points in
favor of new
Trial 0 Cycles: 3230000 
Trial 1 Cycles: 3330000 
Trial 2 Cycles: 3240000 
Trial 3 Cycles: 3230000 
Trial 4 Cycles: 3320000 
Trial 5 Cycles: 3360000 
Trial 6 Cycles: 3290000 
Trial 7 Cycles: 3140000 
Trial 8 Cycles: 3240000 
Trial 9 Cycles: 3270000 
Trial 10 Cycles: 3330000 
Trial 11 Cycles: 3190000 
Trial 12 Cycles: 3260000 
Trial 13 Cycles: 3220000 
Trial 14 Cycles: 3250000 
Trial 15 Cycles: 3260000 
Trial 16 Cycles: 3330000 
Trial 17 Cycles: 3290000 
Trial 18 Cycles: 3380000 
Trial 19 Cycles: 3310000 
Trial 20 Cycles: 3290000 
Trial 21 Cycles: 3430000 
Trial 22 Cycles: 3250000 
Trial 23 Cycles: 3280000 
Trial 24 Cycles: 3220000 
Trial 25 Cycles: 3340000 
Trial 26 Cycles: 3330000 
Trial 27 Cycles: 3320000 
Trial 28 Cycles: 3220000 
Trial 29 Cycles: 3400000 
Trial 30 Cycles: 3240000 
Trial 31 Cycles: 3330000 
Trial 32 Cycles: 3390000 
Trial 33 Cycles: 3190000 
Trial 34 Cycles: 3260000 
Trial 35 Cycles: 3300000 
Trial 36 Cycles: 3170000 
Trial 37 Cycles: 3210000 
Trial 38 Cycles: 3260000 
Trial 39 Cycles: 3200000 
Trial 40 Cycles: 3220000 
Trial 41 Cycles: 3250000 
Trial 42 Cycles: 3200000 
Trial 43 Cycles: 3330000 
Trial 44 Cycles: 3400000 
Trial 45 Cycles: 3330000 
Trial 46 Cycles: 3270000 
Trial 47 Cycles: 3220000 
Trial 48 Cycles: 3330000 
Trial 49 Cycles: 3210000 
Trial 50 Cycles: 3230000 
Trial 51 Cycles: 3380000 
Trial 52 Cycles: 3220000 
Trial 53 Cycles: 3150000 
Trial 54 Cycles: 3310000 
Trial 55 Cycles: 3270000 
Trial 56 Cycles: 3350000 
Trial 57 Cycles: 3260000 
Trial 58 Cycles: 3240000 
Trial 59 Cycles: 3150000 
Trial 60 Cycles: 3180000 
Trial 61 Cycles: 3180000 
Trial 62 Cycles: 3220000 
Trial 63 Cycles: 3300000 
Trial 64 Cycles: 3200000 
Trial 65 Cycles: 3400000 
Trial 66 Cycles: 3260000 
Trial 67 Cycles: 3220000 
Trial 68 Cycles: 3270000 
Trial 69 Cycles: 3440000 
Trial 70 Cycles: 3210000 
Trial 71 Cycles: 3180000 
Trial 72 Cycles: 3280000 
Trial 73 Cycles: 3220000 
Trial 74 Cycles: 3260000 
Trial 75 Cycles: 3310000 
Trial 76 Cycles: 3210000 
Trial 77 Cycles: 3280000 
Trial 78 Cycles: 3310000 
Trial 79 Cycles: 3190000 
Trial 80 Cycles: 3150000 
Trial 81 Cycles: 3260000 
Trial 82 Cycles: 3230000 
Trial 83 Cycles: 3220000 
Trial 84 Cycles: 3320000 
Trial 85 Cycles: 3280000 
Trial 86 Cycles: 3240000 
Trial 87 Cycles: 3190000 
Trial 88 Cycles: 3200000 
Trial 89 Cycles: 3330000 
Trial 90 Cycles: 3270000 
Trial 91 Cycles: 3180000 
Trial 92 Cycles: 3170000 
Trial 93 Cycles: 3200000 
Trial 94 Cycles: 3320000 
Trial 95 Cycles: 3220000 
Trial 96 Cycles: 3310000 
Trial 97 Cycles: 3260000 
Trial 98 Cycles: 3220000 
Trial 99 Cycles: 3340000 
Average Cycles: 3264500.000000
